id,Captions,URL,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
0,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file1__ORIGINALPHOTOGRAPHc18.jpg,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
1,a close up of a person holding an open umbrella,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file2__UFO1.jpg,['window screen'],window screen,NA,NA,NA,NA,NA,NA
2,a large white bird standing on top of a sandy beach .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file3__UFO2.jpg,['window screen'],window screen,NA,NA,NA,NA,NA,NA
3,a cat is sitting on top of a chair .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file4__UFOCLOSEUP.jpg,['window screen'],window screen,NA,NA,NA,NA,NA,NA
4,a black and white photo of a stop sign,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg,['missile'],missile,NA,NA,NA,NA,NA,NA
5,a view of a bunch of trees in the rain .,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg,"['racket, racquet']",racket, racquet,NA,NA,NA,NA,NA
6,a black and white photo of a man in a suit,http://www.mufoncms.com/files_jeud8334j/91053_submitter_file1__201803270h11min.jpg,['digital clock'],digital clock,NA,NA,NA,NA,NA,NA
7,a bird is perched on a branch of a tree .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file1__0CAAA790C3F64F0EB1E012CCA6BBF4F1.jpeg,['Norfolk terrier'],Norfolk terrier,NA,NA,NA,NA,NA,NA
8,a person holding an umbrella in the rain .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file2__4C5A3D07A6294F08BED4E65EE770E012.jpeg,['bow'],bow,NA,NA,NA,NA,NA,NA
9,a black and white photo of a bird,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file3__66A8A4952F6246B78DB0E06804D2DECC.jpeg,['bow'],bow,NA,NA,NA,NA,NA,NA
10,a black and white photo of a person holding a soccer ball,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file4__49B955507DAC4FD8A068D121E3934255.jpeg,['miniature poodle'],miniature poodle,NA,NA,NA,NA,NA,NA
11,a black and white photo of a person holding a remote control .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file5__2C873DA732DF433FA42CBEA0C344ACE2.jpeg,"['notebook, notebook computer']",notebook, notebook computer,NA,NA,NA,NA,NA
12,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90949_submitter_file1__849D074B3F1E4B3E8CF062733B6790D3.jpeg,['alp'],alp,NA,NA,NA,NA,NA,NA
13,a person flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90433_submitter_file1__IMG20170821131622.jpg,['balloon'],balloon,NA,NA,NA,NA,NA,NA
14,a group of birds flying over a lush green field .,http://www.mufoncms.com/files_jeud8334j/90433_submitter_file2__20171015161739.png,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
15,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/91028_submitter_file1__IMG13071.jpg,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
16,a train traveling down train tracks near a forest .,http://www.mufoncms.com/files_jeud8334j/91025_submitter_file1__image.jpeg,['suspension bridge'],suspension bridge,NA,NA,NA,NA,NA,NA
17,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file1__4A23B600D8814B60A86C559DED503BFF.jpeg,['pole'],pole,NA,NA,NA,NA,NA,NA
18,a kite flying in the sky over a tree .,http://www.mufoncms.com/files_jeud8334j/91022_submitter_file2__81EFED6721814D0C82FC4AD118575803.jpeg,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
19,a close up of a bird flying in the air,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file2__image.jpeg,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
20,a close up of a person holding a snow board,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file3__image.jpeg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
21,a night view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file4__image.jpeg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
22,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file5__image.jpeg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
23,a dark night stand with a clock on the wall .,http://www.mufoncms.com/files_jeud8334j/90223_submitter_file2__20180129024805.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
24,a black and white photo of a black and white cat,http://www.mufoncms.com/files_jeud8334j/90223_submitter_file4__20180129025343.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
25,a blue and white photo of a bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file2__683CCBDE849845268707481CA4A382DC.png,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,NA,NA
26,a blue and white photo of a bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file3__762E8C458059439681ECC8B22B0EF68D.jpeg,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,NA,NA
27,a close up of a white and black bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90317_submitter_file5__D99B73AD6F194C35949C94492C641008.png,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
28,a night time view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/91064_submitter_file1__9F71096EC1CC4A10B23CDC17EBE3FAB2.jpeg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
29,a close up of a kite flying in the sky,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
30,a view of a wing from an airplane window .,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg,['wing'],wing,NA,NA,NA,NA,NA,NA
31,an airplane flying over a city at sunset .,http://www.mufoncms.com/files_jeud8334j/90915_submitter_file1__51307submitterfile1DSC0069.jpg,"['liner, ocean liner']",liner, ocean liner,NA,NA,NA,NA,NA
